step,type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,2961.43,C5614226,C9580255,430220.28,427258.85,177093.04,180054.47,0,0
2,CASH_OUT,831.7,C2871534,C7700828,402054.93,401223.23,139182.36,140014.06,0,0
3,TRANSFER,4005.31,C5781295,C7273233,458735.01,454729.7,24271.72,28277.03,0,0
4,PAYMENT,23064.73,C4652414,M932291,265565.94,242501.21,111785.06,134849.79,0,0
5,PAYMENT,686.56,C7462506,M346277,221286.71,220600.15,163001.3,163687.86,0,0
6,CASH_IN,686.58,C3790237,C3222252,222956.81,222270.23,31831.58,32518.16,0,0
7,DEBIT,25807.63,C8633773,C9197443,375888.39,350080.76,167972.58,193780.21,0,0
8,PAYMENT,5089.17,C6266630,M786508,242298.51,237209.34,47849.17,52938.34,0,0
9,TRANSFER,428.83,C5674183,C3154051,117246.79,116817.96,67169.51,67598.34,0,0
10,CASH_IN,3245.81,C2322047,C6440561,75415.33,72169.52,76607.06,79852.87,0,0
11,PAYMENT,434.05,C2921859,M799287,207433.95,206999.9,66176.28,66610.33,0,0
12,TRANSFER,432.05,C7374122,C8852574,416445.58,416013.53,77895.36,78327.41,0,0
13,CASH_OUT,1779.21,C8722606,C1499914,428366.02,426586.81,153118.92,154898.13,0,0
14,TRANSFER,23.89,C5108603,C4594297,149306.33,149282.44,77997.33,78021.22,0,0
15,CASH_IN,34.82,C1848731,C2677407,373757.83,373723.01,109226.46,109261.28,0,0
16,CASH_OUT,356.18,C2871534,C2344047,109710.82,109354.64,87167.2,87523.38,0,0
17,PAYMENT,144.65,C2130789,M932291,339570.94,339426.29,80863.33,81007.98,0,0
18,PAYMENT,2055.95,C2022698,M805477,63813.9,61757.95,124451.39,126507.34,0,0
19,PAYMENT,178.39,C4214348,M563638,282195.99,282017.6,5420.41,5598.8,0,0
20,CASH_OUT,65.07,C4684531,C5977931,90864.51,90799.44,52031.26,52096.33,0,0
